,detector,mode,window_small,window_large,standard,fn,fp,sides
305,ratio,individual,20,1260,42.74,56.97,37.96,1
306,ratio,individual,20,1320,42.46,57.32,38.08,1
307,ratio,individual,20,1380,42.51,57.36,38.18,1
308,ratio,individual,20,1440,42.6,57.42,38.37,1
309,ratio,individual,20,1500,42.93,57.65,37.87,1
310,ratio,individual,20,1560,43.03,57.71,37.87,1
311,ratio,individual,20,1620,42.98,57.68,37.91,1
312,ratio,individual,20,1680,42.83,57.58,38.31,1
313,ratio,individual,20,1740,42.4,57.0,38.12,1
314,ratio,individual,20,1800,42.69,57.2,38.38,1
315,ratio,individual,20,1860,42.98,57.39,38.59,1
316,ratio,individual,20,1920,43.07,57.45,38.4,1
317,ratio,individual,20,1980,43.4,57.67,38.49,1
318,ratio,individual,20,2040,43.97,58.05,38.68,1
319,ratio,individual,20,2100,44.26,58.24,38.95,1
320,ratio,individual,20,2160,43.84,58.25,38.99,1
321,ratio,individual,20,2220,44.08,58.41,39.23,1
322,ratio,individual,20,2280,44.18,58.47,39.8,1
323,ratio,individual,20,2340,44.52,58.71,40.08,1
324,ratio,individual,20,2400,43.81,58.24,40.36,1
325,ratio,individual,20,2460,43.71,58.22,40.46,1
326,ratio,individual,20,2520,43.3,58.42,40.19,1
327,ratio,individual,20,2580,42.92,58.45,40.38,1
328,ratio,individual,20,2640,43.07,58.43,40.57,1
329,ratio,individual,20,2700,43.41,58.65,40.47,1
330,ratio,individual,20,2760,43.69,58.8,40.38,1
331,ratio,individual,20,2820,43.68,59.01,40.3,1
332,ratio,individual,20,2880,43.77,58.98,40.47,1
333,ratio,individual,20,2940,44.01,59.11,40.59,1
334,ratio,individual,20,3000,44.2,58.86,40.53,1
335,ratio,individual,20,3060,44.34,58.86,40.5,1
336,ratio,individual,20,3120,44.25,58.8,40.5,1
337,ratio,individual,20,3180,44.34,58.92,40.68,1
338,ratio,individual,20,3240,44.43,59.02,40.78,1
339,ratio,individual,20,3300,44.53,58.67,40.78,1
340,ratio,individual,20,3360,44.08,58.71,40.97,1
341,ratio,individual,20,3420,44.04,58.68,40.97,1
342,ratio,individual,20,3480,44.04,58.61,40.97,1
343,ratio,individual,20,3540,44.04,58.69,40.97,1
344,ratio,individual,20,3600,44.34,58.8,41.16,1
345,ratio,individual,20,3660,44.43,58.8,41.25,1
346,ratio,individual,20,3720,44.43,58.77,41.19,1
347,ratio,individual,20,3780,44.39,58.73,41.1,1
348,ratio,individual,20,3840,44.34,58.89,41.29,1
349,ratio,individual,20,3900,44.36,58.81,41.29,1
350,ratio,individual,20,3960,44.26,58.84,41.38,1
351,ratio,individual,20,4020,44.31,58.9,41.38,1
352,ratio,individual,20,4080,44.5,58.71,41.57,1
353,ratio,individual,20,4140,44.59,58.73,40.76,1
354,ratio,individual,20,4200,44.59,58.92,40.76,1
355,ratio,individual,20,4260,44.74,59.08,40.74,1
356,ratio,individual,20,4320,44.83,59.15,40.74,1
357,ratio,individual,20,4380,44.88,59.06,40.68,1
358,ratio,individual,20,4440,44.97,58.72,40.49,1
359,ratio,individual,20,4500,45.1,58.8,40.57,1
360,ratio,individual,20,4560,45.15,58.92,40.66,1
361,ratio,individual,20,4620,45.24,58.89,40.85,1
362,ratio,individual,20,4680,45.33,58.96,41.04,1
363,ratio,individual,20,4740,45.33,58.96,41.04,1
364,ratio,individual,20,4800,45.38,58.99,41.14,1
365,ratio,individual,20,4860,45.38,59.08,41.14,1
366,ratio,individual,20,4920,45.38,59.21,41.14,1
367,ratio,individual,20,4980,45.43,59.02,41.23,1
368,ratio,individual,20,5040,45.43,59.02,41.39,1
369,ratio,individual,20,5100,45.16,59.06,41.39,1
370,ratio,individual,20,5160,45.12,59.18,41.3,1
371,ratio,individual,20,5220,45.16,59.03,41.3,1
372,ratio,individual,20,5280,45.21,59.09,41.2,1
373,ratio,individual,20,5340,45.3,59.15,41.49,1
374,ratio,individual,20,5400,45.54,59.28,41.68,1
375,ratio,individual,20,5460,45.59,59.25,41.68,1
376,ratio,individual,20,5520,45.54,59.28,41.68,1
377,ratio,individual,20,5580,45.54,59.22,41.87,1
378,ratio,individual,20,5640,45.59,59.19,41.87,1
379,ratio,individual,20,5700,45.54,59.1,41.96,1
380,ratio,individual,25,60,35.78,47.7,35.78,1
